respondent,gender,region,important,prefer_comma,heard_comma,care_comma,write_following,data_noun,care_data,care_grammar,age,income,education
439,not Male,Pacific,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,41,64462,Some college or Associate degree
440,not Male,Pacific,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,23,63648,Some college or Associate degree
441,not Male,East North Central,No,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,53,110192,Bachelor degree
442,Male,East South Central,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,46,177665,Some college or Associate degree
443,not Male,West South Central,No,No,No,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Somewhat important,20,18543,High school degree
444,Male,New England,Yes,No,Yes,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,21,71267,Bachelor degree
445,Male,Middle Atlantic,Yes,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,20,48110,Bachelor degree
446,Male,New England,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,34,137896,Bachelor degree
447,not Male,South Atlantic,Yes,No,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,33,65755,Graduate degree
448,not Male,Pacific,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Somewhat important,24,87240,Graduate degree
450,Male,East South Central,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,46,85950,Graduate degree
451,not Male,South Atlantic,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,35,81482,Some college or Associate degree
452,Male,Pacific,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,57,147576,Bachelor degree
453,not Male,Middle Atlantic,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,50,59586,Graduate degree
454,not Male,Mountain,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Somewhat important,34,91140,Some college or Associate degree
455,not Male,East North Central,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,22,25565,Some college or Associate degree
456,Male,East North Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,34,24234,Bachelor degree
457,Male,Pacific,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,18,81860,Some college or Associate degree
458,Male,Pacific,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,54,148505,Some college or Associate degree
459,not Male,Pacific,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,41,148572,Graduate degree
460,not Male,West North Central,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Neutral,27,27281,Some college or Associate degree
461,not Male,Pacific,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,36,104289,Bachelor degree
462,not Male,East South Central,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,29,45798,Bachelor degree
463,not Male,Middle Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,26,97525,Some college or Associate degree
464,Male,Mountain,No,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,21,62164,Graduate degree
465,Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,50,108385,Bachelor degree
466,not Male,Mountain,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,20,144411,High school degree
467,Male,West South Central,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,22,142995,Bachelor degree
468,not Male,Pacific,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,28,42982,Some college or Associate degree
469,not Male,Mountain,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,25,30579,Some college or Associate degree
470,not Male,South Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,27,103209,Bachelor degree
471,Male,East North Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,43,83280,Bachelor degree
472,not Male,Pacific,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,24,41166,Some college or Associate degree
473,not Male,South Atlantic,Yes,No,No,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,55,76224,Some college or Associate degree
474,not Male,New England,No,No,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,54,194490,Graduate degree
475,not Male,Pacific,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,25,128075,Graduate degree
476,not Male,South Atlantic,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,22,90513,Bachelor degree
477,not Male,East North Central,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,41,118656,Graduate degree
478,not Male,Pacific,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,19,38627,Some college or Associate degree
479,not Male,New England,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,35,88740,Graduate degree
480,not Male,Middle Atlantic,No,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,31,67800,Bachelor degree
481,not Male,Middle Atlantic,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Somewhat important,22,72989,Graduate degree
482,Male,Middle Atlantic,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not at all,Very important,19,47786,Bachelor degree
483,not Male,East South Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,31,113786,Graduate degree
484,Male,East North Central,Yes,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,26,114144,Graduate degree
485,not Male,West South Central,No,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,23,26193,High school degree
486,Male,Mountain,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Neutral,28,45260,High school degree
487,not Male,Middle Atlantic,No,No,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Somewhat important,22,65787,Graduate degree
488,Male,Mountain,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,20,65834,Graduate degree
489,Male,Middle Atlantic,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Somewhat important,24,70825,Graduate degree
490,Male,South Atlantic,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,27,67018,Bachelor degree
491,Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,31,19282,Some college or Associate degree
492,not Male,Mountain,No,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Somewhat important,26,46726,Some college or Associate degree
493,not Male,East North Central,Yes,No,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,31,54098,Bachelor degree
494,not Male,Middle Atlantic,No,No,No,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Somewhat important,27,22857,Bachelor degree
495,not Male,West South Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,35,41398,Bachelor degree
496,not Male,West North Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,42,33940,Graduate degree
497,not Male,West North Central,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,55,114517,Some college or Associate degree
498,not Male,Pacific,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,40,37515,Graduate degree
499,Male,Pacific,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,21,80143,NA
