year,title,reason,test,budget,domestic,international,runtime,votes,metascore,imdb,rating,language,country,writer,director,genre,plot
1997,G.I. Jane,pass,pass,72.56,69.9,69.9,125,50822,62,5.8,R,English,"USA, UK","Danielle Alexandra (story), David Twohy (screenplay), Danielle Alexandra (screenplay)",Ridley Scott,"Action, Drama",A female Senator succeeds in enrolling a woman into Combined Reconnaissance Team training where everyone expects her to fail.
1997,George of the Jungle,pass,pass,79.82,152.76,253.19,92,45039,53,5.4,PG,"English, Spanish",USA,"Jay Ward (characters), Dana Olsen (story), Dana Olsen (screenplay), Audrey Wells (screenplay)",Sam Weisman,"Action, Adventure, Comedy",George grows up in the jungle raised by apes. Based on the Cartoon series.
1997,Grosse Pointe Blank,pass,pass,21.77,40.76,45.09,107,62911,76,7.4,R,English,USA,"Tom Jankiewicz (story), Tom Jankiewicz (screenplay), D.V. DeVincentis (screenplay), Steve Pink (screenplay), John Cusack (screenplay)",George Armitage,"Action, Comedy, Crime","Martin Blank is a professional assassin. He is sent on a mission to a small Detroit suburb, Grosse Pointe, and, by coincidence, his ten-year high school reunion party is taking place there at the same time."
1997,Hercules,pass,pass,101.59,143.84,363.83,93,86250,NA,7.2,G,"English, Spanish, Greek",USA,"Ron Clements (animation screenplay), John Musker (animation screenplay), Don McEnery (animation screenplay), Bob Shaw (animation screenplay), Irene Mecchi (animation screenplay), Kaan Kalyon (story), Kelly Wightman (story), Randy Cartwright (story), John Ramirez (story), Jeff Snow (story), Vance Gerry (story), Kirk Hanson (story), Tamara Lusher (story), Francis Glebas (story), Mark Kennedy (story), Bruce Morris (story), Don Dougherty (story), Thom Enriquez (story)","Ron Clements, John Musker","Animation, Adventure, Family",The son of the Greek Gods Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.
1997,I Know What You Did Last Summer,pass,pass,24.67,104.85,181.77,100,84708,52,5.6,R,English,USA,"Lois Duncan (novel), Kevin Williamson (screenplay)",Jim Gillespie,"Horror, Mystery, Thriller",Four teens are in great danger one year after their car hits a stranger whose body they dump in the sea.
1997,Jackie Brown,pass,pass,17.41,57.58,108.45,154,185093,64,7.5,R,English,USA,"Quentin Tarantino (written for the screen by), Elmore Leonard (novel)",Quentin Tarantino,"Crime, Drama, Thriller",A flight attendant becomes a key figure in a plot between the police and an arms dealer.
1997,Mortal Kombat: Annihilation,pass,pass,43.54,52.14,74.49,95,29399,11,3.6,PG-13,English,USA,"Ed Boon (video games), Lawrence Kasanoff (story), Joshua Wexler (story), John Tobias (story), Brent V. Friedman (screenplay), Bryce Zabel (screenplay)",John R. Leonetti,"Action, Adventure, Fantasy",A group of martial arts warriors have only six days to save the Earth from an extra-dimensional invasion.
1997,Scream 2,pass,pass,34.83,147.1,147.1,120,99523,63,6,R,English,USA,"Kevin Williamson (characters), Kevin Williamson",Wes Craven,"Horror, Mystery","Two years after the events of the first film, a new psychopath dons the ""Ghost face"" costume and a new string of murders begin."
1997,Selena,pass,pass,29.02,51.45,51.45,127,15195,65,6.6,PG,"English, Spanish",USA,Gregory Nava,Gregory Nava,"Biography, Drama, Music","The true story of Selena Quintanilla-Perez, a Texas-born Tejano singer who rose from cult status to performing at the Astrodome, as well as having chart topping albums on the Latin music charts."
1997,Spawn,pass,pass,58.05,79.79,127.64,96,43968,34,5.2,PG-13,English,USA,"Todd McFarlane (comic book), Alan B. McElroy (screen story), Mark A.Z. Dippé (screen story), Alan B. McElroy (screenplay)",Mark A.Z. Dippé,"Action, Fantasy, Horror","A mercenary is killed, but comes back from Hell as a reluctant soldier of the Devil."
1997,Starship Troopers,pass,pass,145.12,79.48,175.74,129,179573,51,7.2,R,English,USA,"Edward Neumeier (screenplay), Robert A. Heinlein (book)",Paul Verhoeven,"Action, Sci-Fi","Humans in a fascistic, militaristic future do battle with giant alien bugs in a fight for survival."
1997,Titanic,pass,pass,290.25,955.89,3171.93,194,565390,74,7.7,PG-13,"English, French, German, Swedish, Italian, Russian",USA,James Cameron,James Cameron,"Drama, Romance","A seventeen-year-old aristocrat, expecting to be married to a rich claimant by her mother, falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
1997,Volcano,pass,pass,130.61,69,174.29,104,47173,55,5.4,PG-13,"English, Spanish, German",USA,"Jerome Armstrong (story), Jerome Armstrong (screenplay), Billy Ray (screenplay)",Mick Jackson,"Action, Drama, Sci-Fi","A volcano erupts in downtown L.A., threatening to destroy the city."
1998,Godzilla,dubious,fail,178.64,194.81,537.35,139,120832,32,5.2,PG-13,"English, French, Japanese, Russian, Spanish","USA, Japan","Dean Devlin (screenplay), Roland Emmerich (screenplay), Ted Elliott (story), Terry Rossio (story), Dean Devlin (story), Roland Emmerich (story)",Roland Emmerich,"Action, Sci-Fi, Thriller","A enormous, radioactively mutated lizard runs rampant on the island of Manhattan."
1998,Mulan,dubious,fail,128.62,172.38,433.74,88,108134,71,7.5,G,"English, Mandarin",USA,"Robert D. San Souci (story), Rita Hsiao (screenplay), Chris Sanders (screenplay), Philip LaZebnik (screenplay), Raymond Singer (screenplay), Eugenia Bostwick-Singer (screenplay), Dean DeBlois (head writer), John Sanford (story), Tim Hodge (story), Burny Mattinson (story), Barry Johnson (story), Ed Gombert (story), Chris Williams (story), Julius Aguimatang (story), Lorna Cook (story), Thom Enriquez (story), Joe Grant (story), Floyd Norman (story), Linda Woolverton (additional story material), Jodi Ann Johnson (additional story material), Alan Ormsby (additional story material), David Reynolds (additional story material), Don Dougherty (additional story material), Jorgen Klubien (additional story material), Denis Rich (additional story material), Joe Ekers (additional story material), Theodore Newton (additional story material), Larry Scholl (additional story material), Daan Jippes (additional story material), Frank Nissen (additional story material), Jeff Snow (additional story material)","Tony Bancroft, Barry Cook","Animation, Adventure, Family","To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process."
1998,The Faculty,dubious,fail,21.44,57.57,57.57,104,77417,61,6.4,R,English,USA,"David Wechter (story), Bruce Kimmel (story), Kevin Williamson (screenplay)",Robert Rodriguez,"Horror, Mystery, Sci-Fi",Students suspect that their teachers are aliens after bizarre occurances.
1998,American History X,men,fail,14.29,9.6,9.6,119,549494,62,8.6,R,English,USA,David McKenna,Tony Kaye,"Crime, Drama",A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
1998,Get Real,men,fail,2.86,1.65,1.65,108,8764,NA,7.8,R,English,UK,"Patrick Wilde (play), Patrick Wilde (screenplay)",Simon Shore,"Comedy, Drama, Romance",A tenderly romantic coming-of-age story as two boys in a British school fall in love.
1998,Out of Sight,men,fail,68.6,53.68,110.85,123,62203,85,7.1,R,English,USA,"Elmore Leonard (novel), Scott Frank (screenplay)",Steven Soderbergh,"Comedy, Crime, Romance",A career bank robber breaks out of jail and shares a moment of mutual attraction with a US Marshall he has kidnapped.
1998,Pi,men,fail,0.1,4.6,6.69,84,115702,72,7.5,R,"English, Hebrew",USA,"Darren Aronofsky, Darren Aronofsky (story), Sean Gullette (story), Eric Watson (story), Darren Aronofsky (voice over written by), Sean Gullette (voice over written by)",Darren Aronofsky,"Sci-Fi, Thriller",A paranoid mathematician searches for a key number that will unlock the universal patterns found in nature.
1998,The Proposition,men,fail,28.58,2.72,7.59,110,1616,NA,6.2,R,English,USA,Rick Ramage,Lesli Linka Glatter,"Drama, Romance","Father Michael McKinnon goes from the UK to Boston circa 1935. For unknown reasons, he avoids at all costs the most prominent parishioners, Arthur and Eleanor Barret. Meanwhile Eleanor and ..."
1998,Velvet Goldmine,men,fail,12.86,1.51,6.95,124,23162,65,7,R,English,"UK, USA","James Lyons (story), Todd Haynes (story), Todd Haynes",Todd Haynes,"Drama, Music","In 1984, British newspaper reporter Arthur Stuart is investigating the career of 1970s glam rock star Brian Slade, who was heavily influenced in his early years by American rock singer Curt Wild, whose show was quite crazy for his time."
1998,Wild Things,men,fail,28.58,42.58,79.43,108,76548,52,6.5,R,English,USA,Stephen Peters,John McNaughton,"Crime, Mystery, Thriller","A police detective uncovers a conspiracy behind a case involving a high school guidance counselor, when accusations of rape are made against him by two female students."
1998,54,notalk,fail,18.58,23.95,23.95,93,24613,33,5.7,R,English,USA,Mark Christopher,Mark Christopher,"Drama, History",Famous 70s NYC nightclub seen and told through the eyes of a young employee.
1998,Armageddon,notalk,fail,200.08,288.08,792.6,151,252343,42,6.6,PG-13,"English, Russian, Indonesian",USA,"Jonathan Hensleigh (screenplay), J.J. Abrams (screenplay), Tony Gilroy (adaptation), Shane Salerno (adaptation), Robert Roy Pool (story), Jonathan Hensleigh (story)",Michael Bay,"Action, Adventure, Sci-Fi","After discovering that an asteroid the size of Texas is going to impact Earth in less than a month, N.A.S.A. recruits a misfit team of deep core drillers to save the planet."
1998,Blade,notalk,fail,64.31,100.24,187.56,120,144929,45,7.1,R,"English, Russian",USA,David S. Goyer,Stephen Norrington,"Action, Fantasy, Horror","A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires."
1998,Bride of Chucky,notalk,fail,35.73,46.31,72.45,89,31763,NA,5.3,R,English,"Canada, USA","Don Mancini (characters), Don Mancini",Ronny Yu,"Comedy, Horror, Thriller","Chucky, the doll possessed by a serial killer, discovers the perfect mate to kill and revive into the body of another doll."
1998,Dark City,notalk,fail,38.59,20.63,38.95,100,125902,66,7.8,R,English,"Australia, USA","Alex Proyas (story), Alex Proyas (screenplay), Lem Dobbs (screenplay), David S. Goyer (screenplay)",Alex Proyas,"Mystery, Sci-Fi","A man struggles with memories of his past, including a wife he cannot remember, in a nightmarish world with no sun and run by beings with telekinetic powers who seek the souls of humans."
1998,Disturbing Behavior,notalk,fail,21.44,25.02,25.02,84,14764,NA,5.5,R,English,"Australia, USA, Canada",Scott Rosenberg,David Nutter,"Horror, Mystery, Sci-Fi",The new kid in town stumbles across something sinister about the town's method of transforming its unruly teens into upstanding citizens.
1998,Enemy of the State,notalk,fail,121.48,159.42,358.21,132,153279,67,7.3,R,English,USA,David Marconi,Tony Scott,"Action, Crime, Mystery",A lawyer becomes a target by a corrupt politician and his NSA goons when he accidentally receives key evidence to a serious politically motivated crime.
1998,Fear and Loathing in Las Vegas,notalk,fail,26.44,15.26,19.6,118,171879,41,7.8,R,English,USA,"Hunter S. Thompson (book), Terry Gilliam (screenplay), Tony Grisoni (screenplay), Tod Davies (screenplay), Alex Cox (screenplay)",Terry Gilliam,Comedy,An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.
1998,"Lock, Stock and Two Smoking Barrels",notalk,fail,1.93,5.57,40.52,107,303829,66,8.2,R,English,UK,Guy Ritchie,Guy Ritchie,"Comedy, Crime","A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns."
1998,Mercury Rising,notalk,fail,85.75,47.14,47.14,111,44989,NA,6,R,English,USA,"Ryne Douglas Pearson (novel), Lawrence Konner (screenplay), Mark Rosenthal (screenplay)",Harold Becker,"Action, Crime, Drama",Shadowy elements in the NSA target a nine-year old autistic savant for death when he is able to decipher a top secret code.
1998,Rounders,notalk,fail,17.15,32.76,32.76,121,100632,54,7.4,R,"English, Hebrew, Russian",USA,"David Levien, Brian Koppelman",John Dahl,"Crime, Drama",A young man is a reformed gambler who must return to playing big stakes poker to help a friend pay off loan sharks.
1998,Run Lola Run,notalk,fail,2.5,10.39,20.77,80,138797,77,7.8,R,"German, English, Japanese",Germany,Tom Tykwer (screenplay),Tom Tykwer,"Action, Crime, Thriller","A young woman in Germany has twenty minutes to find and bring 100,000 Deutschmarks to her boyfriend before he robs a supermarket."
1998,Rushmore,notalk,fail,14.29,24.45,27.27,93,102686,86,7.8,R,"English, Spanish, Latin, French",USA,"Wes Anderson, Owen Wilson",Wes Anderson,"Comedy, Drama",The king of Rushmore prep school is put on academic probation.
1998,Six Days Seven Nights,notalk,fail,114.33,106.24,235.52,98,51032,51,5.7,PG-13,"English, German",USA,Michael Browning,Ivan Reitman,"Action, Adventure, Comedy","Robin Monroe, a New York magazine editor, and the gruff pilot Quinn Harris must put aside their mutual dislike if they are to survive after crash landing on a deserted South Seas island."
1998,Small Soldiers,notalk,fail,57.17,78.81,102.53,110,64118,NA,6.1,PG-13,English,USA,"Gavin Scott, Adam Rifkin, Ted Elliott, Terry Rossio",Joe Dante,"Action, Adventure, Comedy","When missile technology is used to enhance toy action figures, the toys soon begin to take their battle programming too seriously."
1998,Sphere,notalk,fail,104.33,52.98,71.7,134,64063,35,6,PG-13,English,USA,"Michael Crichton (novel), Kurt Wimmer (adaptation), Stephen Hauser (screenplay), Paul Attanasio (screenplay)",Barry Levinson,"Drama, Mystery, Sci-Fi",A spaceship is discovered under three hundred years' worth of coral growth at the bottom of the ocean.
1998,The Big Lebowski,notalk,fail,21.44,25.01,66.01,117,381537,69,8.2,R,"English, German, Hebrew, Spanish","USA, UK","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen","Comedy, Crime","""Dude"" Lebowski, mistaken for a millionaire Lebowski, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
1998,The Man in the Iron Mask,notalk,fail,50.02,81.42,81.42,132,95892,48,6.4,PG-13,"English, Italian","USA, France","Alexandre Dumas père (novels), Randall Wallace (screenplay)",Randall Wallace,"Action, Adventure",The cruel King Louis XIV of France has a secret twin brother who he keeps imprisoned. Can the twin be substituted for the real king?
